recipe_id,recipe_name,aver_rate,image_url,review_nums,calories,fat,carbohydrates,protein,cholesterol,sodium,fiber,ingredients_list
22,samosa,4.3,https://media.istockphoto.com/id/1194530915/photo/freshly-cooked-indian-popular-famous-snacks-samosa.jpg?s=612x612&w=0&k=20&c=9m8f3N8jP2fQvUmINSPl7pBmHHjc9wfsdA9FIjZqhp8=,283,276,10,22,10,74,207,5,sample ingredients list
23,Sandwich,4.4,https://media.istockphoto.com/id/1328164559/photo/veg-grilled-sandwich.jpg?s=612x612&w=0&k=20&c=Tc3VFBCwxqterYG6Q0eVGAf4fN2wAmIfOA7Jzd_JNa4=,258,321,19,44,10,94,788,3,sample ingredients list
24,Burger,4.7,https://media.istockphoto.com/id/1205446757/photo/fast-food-burger-with-a-cold-drink-can.jpg?s=612x612&w=0&k=20&c=sYkPiIAN2l4zUhLSD5GJo1ncI07DECJjxY3utfIJKP8=,422,289,8,26,7,21,500,8,sample ingredients list
12,Idli,4.3,https://media.istockphoto.com/id/1173608208/photo/instant-noodles-bowls-directly-above.jpg?s=612x612&w=0&k=20&c=Eu1aEitDMQkCsxcysHnHcsy4YjXw2ihs4-vcZbE-Zd4=,1132,453,12,24,22,53,497,6,sample ingredients list
13,Noodles,5,https://media.istockphoto.com/id/1173608208/photo/instant-noodles-bowls-directly-above.jpg?s=612x612&w=0&k=20&c=Eu1aEitDMQkCsxcysHnHcsy4YjXw2ihs4-vcZbE-Zd4=,756,284,10,22,7,154,550,6,sample ingredients list
14,Vada Pav,4.2,https://media.istockphoto.com/id/1329213718/photo/vada-pav.jpg?s=612x612&w=0&k=20&c=Yy3pm53KrPAnZXL9weCJDzXjxa2My34oVFx7RBCPmZ8=,539,478,24,25,14,68,219,3,sample ingredients list
15,Veg Roll,4.2,https://media.istockphoto.com/id/1438449132/photo/egg-cheese-chicken-burger-shawarma-wrap-with-salad-dip-and-sauce-isolated-wooden-board-side.jpg?s=612x612&w=0&k=20&c=o34qlfaytv5yfsxdmaWNdU6u524cGl3NXn-X5fjAFdY=,575,314,21,54,22,19,410,8,"['rice, milk, and sugar']"
16,Momos,5,https://media.istockphoto.com/id/1292635321/photo/veg-steam-momo-nepalese-traditional-dish-momo-stuffed-with-vegetables-and-then-cooked-and.jpg?s=612x612&w=0&k=20&c=NyxQvDnBq7Ki09Zi21JEMxpuZ_uVr45ZBSavqXJ2T1s=,355,232,14,40,11,126,583,7,sample ingredients list
17,Pani Puri,4.8,https://media.istockphoto.com/id/1247671316/photo/golgappa-or-panipuri-stuffed-with-tamarind-water-and-spicy-potato-paste-in-plate-isolated-on.jpg?s=612x612&w=0&k=20&c=v_3CTiZMzTFzLIzc2icmWmYot8TwmiUSuG__QkcwtJQ=,1345,340,12,38,31,81,272,2,sample ingredients list
18,Potato Fries,4.8,https://media.istockphoto.com/id/1217952872/photo/image-of-crispy-chunky-chips-french-fries-takeaway-food-at-bar-restaurant-unhealthy-greasy.jpg?s=612x612&w=0&k=20&c=lEu3OusgG1jU-9E4xM8OKnY_xC95AqlVQJj719QLphc=,1219,448,7,21,28,17,317,3,sample ingredients list
19,Choclate cake,4.5,https://media.istockphoto.com/id/1370520449/photo/slice-of-chocolate-cake-with-glaze.jpg?s=612x612&w=0&k=20&c=KK-h7w4l0FNA0YMWvkr1X8UrAAB77z0f5tTByBYgReM=,1208,329,12,38,27,103,387,4,sample ingredients list
20,Mango Juice,4.5,https://media.istockphoto.com/id/904617420/photo/fresh-mango-smoothie-in-the-glass.jpg?s=612x612&w=0&k=20&c=ogIRn5AfahJNU4W8UmQIZ-mJqL9tgOm9yH_-5WJmkSQ=,1176,287,9,39,11,124,348,8,sample ingredients list
